title,company,category,status,min_edu,min_exp,description,url,imgUrl
Administrasi Gudang - Semarang,Cv Solusi Arya Prima,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Administrasi Gudang - Semarang at Cv Solusi Arya PrimaKualifikasi :1. Pria2. Usia Max. 30 thn3. Pendidikan min. D34. Menguasai software accurate dan excel5. Pengalaman minimal 1 tahun di bagian gudang atau accounting.5. Teliti dan memiliki kemampuan komunikasi yang baik6. Mampu bekerja dibawah tekanan.Jobdesk :1. Menerima dan memeriksa barang yang datang sesuai dengan dokumen pengiriman dan memastikan barang yang diterima dalam kondisi baik dan sesuai dengan pesanan.2. Menyusun dan mengatur barang di gudang sesuai dengan jenis dan kategori.3. Melakukan pencatatan dan input stok barang (Stock Opname) secara akurat dan berkala.4. Mengontrol persediaan barang agar tidak terjadi kekurangan atau kelebihan.5. Menginput jobcosting.6. Menyiapkan dan mengemas barang untuk pengiriman sesuai dengan pesanan.6. Membuat laporan penerimaan, penyimpanan dan pengiriman.Read Less",https://glints.com/id/en/opportunities/jobs/administrasi-gudang-semarang/4409e141-a5c6-4663-af23-3185b21fd58f?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/581af383e9a65d9516c1e75b7bbb0fc4.jpg
Warehouse Supervisor (Mandarin Speaker),PT. Wook Global Technology,Supply Chain & Logistics,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Warehouse Supervisor (Mandarin Speaker) at PT. Wook Global TechnologyDeskripsi Pekerjaan:Bertanggung jawab atas pengelolaan warehouse dan pengelolaan SDM warehouse;menetapkan SOP/standar kerja warehouse; menetapkan program kerja di warehouse;menetapkan arah pelatihan keterampilan untuk karyawan.Bertanggung jawab dalam menyusun dan menyempurnakan lay out tempat kerja yang ada di warehouse; memastikan semua tempat yang ada di dalam warehouse dapat dimanfaatkan dengan tepat guna; memastikan inventory management di dalam warehouse sesuai dengan standar dan kebutuhan operasional.Bertanggung jawab dalam memastikan karyawan menjalani setiap segmen kerja yang ada di warehouse seperti receive, check, put away, pick, dan lain-lain dengan baik; memastikan efektifitas dan efisiensi kerja karyawan di gudang selalu dalam kondisi baik.Bertanggung jawab atas pembuatan dan pemeliharaan sistem inventory management warehouse (stok opname rutin, penyesuaian stok, dan lain-lain).Bertanggung jawab dalam menyusun perencanaan penggunaan biaya operasional yang ada di warehouse dan memastikan biaya operasional selalu dalam batas wajar.Bekerja sama dengan departemen lain dalam menyelesaikan semua permintaan atau pekerjaan yang berhubungan dengan warehouse; menjaga komunikasi dan koordinasi yang baik dengan departemen lain guna memastikan operasional warehouse berjalan sesuai dengan program dan strategi kerja perusahaan.Bertanggung jawab atas keamanan dan kebersihan warehouse secara keseluruhan, memastikan kebersihan dan keamanan warehouse dalam kondisi baik sehingga operasional warehouse berjalan dengan normal.Bertanggung jawab menjalankan tugas lain yang nanti diserahkan oleh warehouse manager.Support keperluan safety (kemanan kerja) / K3 karyawan Warehouse. Kualifikasi:Usia maksimal 37 tahun.Pendidikan minimal lulusan D3/S1 sederajat (segala jurusan).Memiliki pengalaman sebagai Warehouse Supervisor / Logistic Supervisor minimal 2 tahun dan mampu berkomunikasi dengan lancar (lisan dan tertulis) menggunakan bahasa Mandarin.Diutamakan memiliki pengalaman kerja di bidang pengelolaan e-commerce.Memahami business process / flow process dan daily activities di Gudang (Warehouse).Memahami tentang WMS (Warehouse Management System).Memiliki kendaraan pribadi dengan SIM A atau SIM C (aktif).Bersedia bekerja mobile untuk mengurus perizinan tenaga kerja asing, izin usaha/ izin operasional di lapangan.Penempatan lokasi kerja di Cikarang Pusat , Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/warehouse-supervisor-mandarin-speaker/7ae950ca-e6b4-44e5-9053-6ce1fa104973?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/62c368c52b97568dba9fa921c9667b78.png
Staf Gudang,PT. Wynettes Walden International,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Staf Gudang at PT. Wynettes Walden International1. Mencatat barang yang masuk dan keluar dari gudang, termasuk jumlah stok barang, keluar masuknya distribusi barang, pemesanan barang, hingga klaim pembayaran atas pembelian. 2. Mengklasifikasikan barang yang masuk dengan sesuai.3. Memeriksa dan melaporkan stok barang di gudang, termasuk mengecek stok barang yang masuk.4. Memperbarui barang yang memasuki expired period atau masa kedaluwarsa. Admin harus mampu mengatur barang yang didistribusikan terlebih dahulu, yakni barang yang memiliki masa kedaluwarsa lebih cepat. 5. Melakukan koordinasi dengan pihak terkait, seperti supervisor gudang, tim logistik, tim produksi, tim penjualan, atau pemasok. Admin harus mampu berkomunikasi dengan baik dan menjaga hubungan kerjasama yang harmonis.6. Menyusun laporan berkala tentang kegiatan pergudangan, seperti laporan stok barang, laporan distribusi barang, laporan pemesanan barang, atau laporan kerusakan barang. Laporan ini berguna untuk evaluasi dan perbaikan kinerja.7. diutamakan bisa mengendarai mobilRead Less",https://glints.com/id/en/opportunities/jobs/staf-gudang/506d9ac6-0d51-425a-a6a3-3b55eff523ee?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0214cbe26e9c8aa103f007a7bbb1d344.png
Staf Gudang (Temporary 3 Bulan),PT Chika Mulya Multimedia,Supply Chain & Logistics,Contract · On-site,Minimum Senior/Vocational High School,Less than a year of experience,Job description for Staf Gudang (Temporary 3 Bulan) at PT Chika Mulya MultimediaKualifikasi :1. Wanita2. Usia maksimal 23 tahun3. Pendidikan minimal SMA/SMK atau sederajat4. Memiliki pengalaman di bagian gudang (terbuka untuk Fresh Graduate)5. Cekatan dan mampu mengoperasikan komputer (basic)6. Jujur dan mau kerja keras7. Bersedia bekerja secara temporerRead Less,https://glints.com/id/en/opportunities/jobs/staf-gudang-temporary-3-bulan/8a8d3bbf-b433-4225-b7ae-95298c6985e9?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/92397a6f200ee13d8d2b902a969b198d.png
Staff Gudang,Store Maju Hardware Kediri,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Staff Gudang at Store Maju Hardware KediriKUALIFIKASI :Pria / WanitaMax. usia 27 ThnBerpenampilan MenarikPendidikan Min. SMA / SMKKomunikatif, Good AttitudeMemiliki pengalaman di Retail-Smartphone (lebih diutamakan)Fresh Graduate Are Welcome*Gaji akan diinfo pada saat sesi interviewRead Less",https://glints.com/id/en/opportunities/jobs/staff-gudang/3dc95e11-757f-4fcd-b280-11f9a7749c54?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/8378a107621899049924c1ad8a7602c4.jpeg
supir,Pt Anugerah Graha Plasindo,Supply Chain & Logistics,Daily · On-site,Minimum Secondary School,1 - 3 years of experience,Job description for supir at Pt Anugerah Graha PlasindoJob DescriptionsMengemudikan kendaraan dengan aman dan bertanggung jawab.Mengantarkan karyawan ke tujuan sesuai dengan rute yang ditentukan.Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin.Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.Job RequirementsMemiliki SIM APengalaman sebagai driver atau posisi serupa diutamakan.Pengetahuan tentang peraturan lalu lintas dan keselamatan berkendara.Memiliki sikap bertanggung jawab dan disiplin dalam menjaga jadwal.Kemampuan komunikasi yang baik dan mampu berinteraksi dengan baik dengan orang lain.Read Less,https://glints.com/id/en/opportunities/jobs/supir/520cf7a8-dd3c-4874-b420-a8eb52b59b79?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ccb3551da94da60be0aea20ff2cdf17b.png
helper,Toko Plastik 40,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for helper at Toko Plastik 40membuka pagar,sapu dan siram halamanmengumpulkan dan merapikan kardus bekas untuk di jualpacking botol,sreng,dll sesuai perintah atasanmembantu sales menyiapakan barang pesanan customermembantu mengirim barang dengan motorRead Less",https://glints.com/id/en/opportunities/jobs/helper/089403e8-f623-4a95-8c35-48f73258d83e?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/00d2ed43e20637d9159b2a47856c7668.jpg
KOORDINATOR DEPO YOGYAKARTA,CV Bintang Mitra Mulia,Supply Chain & Logistics,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for KOORDINATOR DEPO YOGYAKARTA at CV Bintang Mitra Muliaa. Memastikan permintaan barang ( PO ) untuk stock Depo sudah dikirim setelah menerima Barang Datang dari HO.b. Memastikan PO dari outlet yang di cover Depo, bisa diterima Depo tidak mepet, sebagai dasar pengajuan permintaan barang ( PO ) outlet dari Depo ke HOc. Memastikan Barang terkirim ke Outlet sesuai PO Outlet dan  schedule pengirimand. Menyusun dan melaporkan budget biaya operasional Depoe. Melakukan stok opname, sampling dan opname Piutangf. Melakukan closing ceremony dan closing piutangg. Melakukan perawatan kendaraan operasionalRead Less",https://glints.com/id/en/opportunities/jobs/koordinator-depo-yogyakarta/53eda3ce-dc79-46c0-9194-fb2fe5a8e5cf?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/43ce0480dde4987bda20adca3cf4e7c7.jpeg
Driver Kiriman Bekasi,PT. YAFINDO MEGA PERMATA,Supply Chain & Logistics,Full-Time · Hybrid,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Driver Kiriman Bekasi at PT. YAFINDO MEGA PERMATALaki-laki.Memiliki SIM B1.Mampu mengkoordinasi prosedur operasional untuk penerimaan, penanganan, penyimpanan dan pengiriman barang.Pengalaman 1-2 tahun sebagai Driver di industri FMCG lebih disukai.Memahami area Bandung dan sekitarnya.Penempatan Bandung Timur - Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/driver-kiriman-bekasi/ec4abccd-77d1-44b4-b4c2-c982e17852ef?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a72226c2a2ed1b38daed2708e78ae981.png
Driver Kiriman Bandung Timur,PT. YAFINDO MEGA PERMATA,Supply Chain & Logistics,Full-Time · Hybrid,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Driver Kiriman Bandung Timur at PT. YAFINDO MEGA PERMATALaki-laki.Memiliki SIM B1.Mampu mengkoordinasi prosedur operasional untuk penerimaan, penanganan, penyimpanan dan pengiriman barang.Pengalaman 1-2 tahun sebagai Driver di industri FMCG lebih disukai.Memahami area Bandung dan sekitarnya.Penempatan Bandung Timur - Jawa Barat.Read Less",https://glints.com/id/en/opportunities/jobs/driver-kiriman-bandung-timur/0da55cea-657f-483d-aa49-619195b2ee34?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a72226c2a2ed1b38daed2708e78ae981.png
DRIVER - OFFICE BOY,PT Masterko Solusi Servicatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for DRIVER - OFFICE BOY at PT Masterko Solusi ServicatamaKualifikasi :﻿﻿﻿Pendidikan Min. SMK/Sederajat﻿﻿﻿Usia Maksimal 35 Thn﻿﻿﻿Memiliki SIM A﻿﻿﻿Memiliki Perilaku yang baik, jujur, sopan﻿﻿﻿Domisili Jakarta TImur, BekasiRead Less",https://glints.com/id/en/opportunities/jobs/driver-office-boy/dbeb156f-3417-46c9-8184-5c8ce4119462?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/eadc373f282bdc1ff7187c1a89cd7623.png
Warehouse Coordinator,PT Grha Sinar Arya,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Warehouse Coordinator at PT Grha Sinar AryaWarehouse coordinatorMengelola dan bertanggung jawab atas surat pengantar barangMemastikan SOP yang berjalan di warehouse berjalan lancarMembuat laporan penerimaan barang, pengiriman barang, dan stock barangMemonitor pelaksanaan perawatan perlengkapan warehouseMelakukan penataan ACP dan sealantMembantu warehouse head dalam menjalankan tugas Memiliki jiwa leadershipRead Less",https://glints.com/id/en/opportunities/jobs/warehouse-coordinator/db91c877-5690-4a52-818d-c05a7abd01ed?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/c640d062fda363dc098f879b6e968a82.png
Operasional Driver Logistik,Abc Express,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Operasional Driver Logistik at Abc ExpressResponsibilities:Melakukan administrasi pengiriman dan penerimaan; Membuat manifest, berita acara kerusakan barang dan irregularity lainnya; Melakukan distribusi dan delivery serta pick up barang pelanggan;Mengawasi dan memastikan barang kiriman dari service point kemitraan diproses sesuai dengan ketentuan yang berlaku; Mengontrol dan memastikan penanganan barang pelanggan oleh partnership/mitra kerja sesuai dengan standar kualitas layanan yang ditetapkan perusahaan; Melakukan packing, re-packaging dan mengawasi serta memastikan bahwa barang pelanggan bukan merupakan barang yang dilarang dalam peraturan yang berlaku; Mengawasi dan mengelola berkas dokumen pengiriman baik yang menjadi dasar penagihan ataupun dokumen sumber untuk update data pengiriman dan penerimaan; Melakukan input data transaksi dan operasi pada aplikasi yang disediakan.Requirements:Laki-Laki, Bersedia ditempatkan di RO ABC Express RO SurabayaMemiliki SIM A (Wajib) dan SIM B1 (Lebih diutamakan) Pendidikan Minimal SMA sederajat Bisa Mengoperasikan komputer dan Microsoft Office (Word, Excel, Powerpoint)Pengalaman mengemudi minimal 2 tahun, dari industri logistik atau ekspedisi menjadi nilai tambahTerbiasa melakukan Packing barangMemiliki pengetahuan tentang peraturan lalu lintas dan peta jalan lokal Kemampuan untuk bekerja dalam tim dan secara individu. Bersedia bekerja di luar jam kerjaRead Less",https://glints.com/id/en/opportunities/jobs/operasional-driver-logistik/615825aa-3fe1-4b26-b873-055fe737248b?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6e27f17ba91237153fdc70730a8aef17.png
Chekker,Toko pjm Bali,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Chekker at Toko pjm BaliKriteria :- Pria / wanita usia maksimal 30 tahun- Pendidikan minimal SMK / Sederajat- Freshgraduate / berpengalaman silahkan melamar- Teliti, komunikatif, jujur dan disiplin- Memiliki semangat tinggi untuk belajar & bekerja sama dalam tim.Benefit :- Gaji pokok- Uang makan- ⁠Komisi - Tunjangan lainnya- ⁠Cuti 14 hari / tahunRead Less",https://glints.com/id/en/opportunities/jobs/chekker/0585981d-9f88-4101-b249-0c107527decd?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bba0bec40201bc9873222a97561457f3.png
Salesman Medical & Non Medical,PT Kreasiboga Primatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Salesman Medical & Non Medical at PT Kreasiboga PrimatamaKualifikasi* Minimal Pendidikan SMA/SMK, diutamakan D3/S1 berbagai Disiplin Ilmu* Mampu mengoperasikan microsoft office* Memahami proses bisnis Pedagang Besar Farmasi (PBF)* Mengetahui pengetahuan tentang alur distribusi barang* Berpengalaman sebagai Sales di Pedagang Besar Farmasi (PBF) atau bidang yang serupa* Memiliki jejaring yang luas pada area toko obat, apotek, atau rumah sakit* Memahami jenis-jenis dan fungsi produk farmasi* Memiliki kemampuan marketing dan sales dengan baik* Memiliki kemampuan negosiasi yang baik* Terbiasa bekerja berdasarkan target Deskripsi PekerjaanMerencanakan, melakukan kunjungan, menyampaikan informasi produk dan program penjualan, menawarkan secara aktif produk  kepada outlet serta membuat laporan atas kunjungan dan pencapaian target penjualanRead Less",https://glints.com/id/en/opportunities/jobs/salesman-medical-and-non-medical/0f52da2e-3c77-4d04-b43c-8e67c9f50e8f?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad6706ff0b4e903dde0973bf4625ce97.jpg
Salesman Medical,PT Kreasiboga Primatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Salesman Medical at PT Kreasiboga PrimatamaDeskripsi Pekerjaan Merencanakan, melakukan kunjungan, menyampaikan informasi produk dan program penjualan, menawarkan secara aktif produk farmasi kepada outlet serta membuat laporan atas kunjungan dan pencapaian target penjualan.Kualifikasi:Minimal pendidikan SMA/SMKMampu mengoperasikan Microsoft OfficeBerpengalaman sebagai Sales di Pedagang Besar Farmasi atau bidang serupaMemiliki kemampuan negosiasi yang baik dan terbiasa bekerja berdasarkan targetMemahami proses Pedagang Besar Farmasi (PBF)Memiliki jejaring yang luas pada area toko obat, apotek, atau rumah sakitMemahami jenis dan fungsi produk farmasiRead Less",https://glints.com/id/en/opportunities/jobs/salesman-medical/59a93f9e-e2de-467a-b5c7-28711fcb268f?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad6706ff0b4e903dde0973bf4625ce97.jpg
Driver Direksi,PT Bighot Restaurant Indonesia (REDDOG) Jakarta,Supply Chain & Logistics,Full-Time · On-site,Minimum Secondary School,3 - 5 years of experience,"Job description for Driver Direksi at PT Bighot Restaurant Indonesia (REDDOG) JakartaTanggung Jawab Pekerjaan :Menjaga kebersihan dan merawat kendaraan dengan baikAntar jemput User dengan baik sampai dengan tujuanBertanggung jawab atas keselamatan User selama perjalananMengecek masa berlaku dokumen (STNK dan Pajak Kendaraan)Memonitor Service berkala kendaraanMelakukan tugas-tugas lain yang diperlukan UserMematuhi Peraturan Lalu Lintas Kualifikasi :Usia Max 50 tahun, Min 40 tahunPengalaman Min 3 Tahun sebagai Personal DriverMahir dalam membaca Google Maps Bersih, Rapih, Resik dan RajinMempunyai SIM A (Aktif)Bersedia bekerja dengan waktu yang fleksibelBerdomisili di daerah Jakarta Barat (Wajib), Jakarta (Dipertimbangkan)Memahami dengan baik jalan di daerah JabodetabekDapat bergabung secepatnyaRead Less",https://glints.com/id/en/opportunities/jobs/driver-direksi/5aac8b06-438f-4eb3-8645-7337bac6a634?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/2954bfd1ed1ba10de11e0532f62aec4f.png
Salesman Medical & Non Medical,PT Kreasiboga Primatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Salesman Medical & Non Medical at PT Kreasiboga PrimatamaDeskripsi Pekerjaan Merencakan, melakukan kunjungan, menyampaikan informasi produk dan program penjualan, menawarkan secara aktif produk kepada outlet serta membuat laporan atas kunjungan dan pencapaian target penjualan.Kualifikasi:Minimal pendidikan SMA/SMKMampu mengoperasikan Microsoft OfficeBerpengalaman sebagai Sales di Pedagang Besar Farmasi atau bidang serupaMemiliki kemampuan negosiasi yang baik dan terbiasa bekerja berdasarkan targetMemahami proses Pedagang Besar Farmasi (PBF)Read Less",https://glints.com/id/en/opportunities/jobs/salesman-medical-and-non-medical/7ffac87a-5bdd-4a96-a6d4-ac69c839a66f?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad6706ff0b4e903dde0973bf4625ce97.jpg
Staff Penyimpanan Lgistik,PT Kreasiboga Primatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Staff Penyimpanan Lgistik at PT Kreasiboga PrimatamaJob Deskripsi :Mengoordinasikan kegiatan pelaksanaan operational logistik yang meliputi : administrasi penerimaan produk untuk memastikan produk diterima sesuai dengan jenis, jumlah, dan dalam keadaan baik sesuai dengan yang dipersyaratkan dan prosedur yang berlaku.Kualifikasi :Minimal pendidikan D3 berbagai Disiplin IlmuFresh graduate, diutamakan berpengalaman dibidang yang samaMengetahui proses Manajemen, Pembelian, Pergudangan dan InventoriMemahami standarisasi penyimpanan dan Supply Chain barang untuk CCPMengetahui proses bisnis Pedagang Besar Farmasi (PBF)Read Less",https://glints.com/id/en/opportunities/jobs/staff-penyimpanan-lgistik/5cc8122b-d6e6-43c1-9ea9-dc737de2fb3a?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad6706ff0b4e903dde0973bf4625ce97.jpg
Staff Pelayanan (Logistik),PT Kreasiboga Primatama,Supply Chain & Logistics,Full-Time · On-site,Minimum Associate Degree,1 - 3 years of experience,"Job description for Staff Pelayanan (Logistik) at PT Kreasiboga PrimatamaJobdesk :Memastikan kelancaran proses distribusi barang dari gudang KFTD sesuai dengan prosedur yang ditetapkan, termasuk pengelolaan proses Delevery Order (DO) dan Transfer Order (YO) secara akurat dan efisienKualifikasi :Minimal pendidikan D3Fresh graduate, diutamakan berpengalaman dibidang yang samaMengetahui proses manajemen, Pembelian, Pergudangan, dan InventoriMemahami standarisasi penyimanan dan Supply Chain barang untuk CCPMengetahui proses bisnis Pedagang Besar Farmasi (PBF)Read Less",https://glints.com/id/en/opportunities/jobs/staff-pelayanan-logistik/f0d49ab8-70f7-49c9-8fbc-1ebf204e2b3d?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad6706ff0b4e903dde0973bf4625ce97.jpg
Driver Pengiriman Barang,PT Jaco Nusantara Mandiri,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,3 - 5 years of experience,"Job description for Driver Pengiriman Barang at PT Jaco Nusantara MandiriJobdesk Driver Pengiriman Barang:Mengoperasikan kendaraan pengiriman (mobil box, truk, atau kendaraan lainnya) dengan aman dan efisien.Melakukan pengiriman barang sesuai dengan jadwal dan lokasi yang ditentukan.Memastikan barang sampai ke tujuan dengan aman, tepat waktu, dan dalam kondisi baikMemeriksa barang yang akan dikirim dan memastikan jumlah serta kondisi barang sesuai dengan dokumen pengiriman.Memastikan bahwa barang terbungkus dan tertata dengan baik di dalam kendaraan untuk menghindari kerusakan selama perjalanan.Mengisi dokumen pengiriman seperti surat jalan, faktur, atau tanda terima.Mengumpulkan tanda terima dari penerima sebagai bukti pengiriman.Melakukan pemeriksaan rutin kendaraan sebelum digunakan untuk memastikan kondisi kendaraan dalam keadaan baik.Melakukan pelaporan jika ada kerusakan atau kebutuhan perawatan kendaraanMematuhi aturan lalu lintas dan prosedur keselamatan selama berkendara.Menjaga kelengkapan dokumen kendaraan seperti SIM, STNK, dan asuransi kendaraan.Melaporkan kepada atasan terkait kondisi pengiriman, kendala yang dihadapi selama perjalanan, atau masalah dengan barang yang dikirimBerkomunikasi dengan bagian gudang atau pihak yang bertanggung jawab terkait status pengiriman dan koordinasi dengan penerima barang.

Kualifikasi Driver Pengiriman Barang:Minimal lulusan SMA/SMK sederajat.Memiliki pengalaman sebagai driver pengiriman barang lebih disukai, meskipun pemula yang memiliki keterampilan mengemudi juga dipertimbangkan.Memiliki SIM B1 atau B2 (tergantung jenis kendaraan yang dikendarai) yang masih berlaku.Menguasai teknik mengemudi kendaraan pengiriman dengan baik dan mengetahui rute pengiriman.Mampu mengemudikan kendaraan besar (truk, mobil box) dan kendaraan kecil (motor, mobil pribadi).Dapat berkomunikasi dengan baik dan sopan dengan pelanggan maupun rekan kerja.Mampu mengisi dan memahami dokumen pengiriman.Memiliki kondisi fisik yang prima untuk mengemudi dalam jarak jauh dan waktu yang lama.Tidak mengalami gangguan penglihatan, pendengaran, atau kondisi medis lain yang dapat mengganggu kemampuan mengemudi.Memiliki sifat jujur, disiplin, dan bertanggung jawab.Memiliki kemampuan problem-solving, terutama dalam menghadapi kendala saat pengiriman.Memahami dan mematuhi peraturan lalu lintas yang berlaku serta memiliki pengetahuan dasar tentang keselamatan berkendara.

Placement: Semarang, Candisari, Jawa TengahRead Less",https://glints.com/id/en/opportunities/jobs/driver-pengiriman-barang/58e96c79-d408-4ca3-a508-c1a1b9a39a6a?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/93d282f18a06a297e5626a28c6f90ced.png
Kurir,PT Air Mas Perkasa,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Kurir at PT Air Mas PerkasaJob DescriptionsMengemudikan kendaraan pengiriman dengan aman dan bertanggung jawab.Mengambil dan mengantarkan paket, dokumen, atau barang sesuai dengan jadwal pengiriman.Memastikan kondisi paket atau barang tetap terjaga selama proses pengiriman.Melakukan verifikasi dan pencatatan terhadap pengiriman yang dilakukan.Job RequirementsMemiliki SIM (Surat Izin Mengemudi) yang valid.Pengalaman kerja sebagai Kurir atau posisi serupa diutamakan.Disiplin, bertanggung jawab, dan komitmen terhadap ketepatan waktu.Kemampuan fisik yang cukup untuk mengangkat dan memindahkan paket atau barang.Dapat dipercaya, bertanggung jawab dan jujur.


Read Less",https://glints.com/id/en/opportunities/jobs/kurir/04cd9fb2-3a66-4203-b0b8-ac8ce8d314e9?utm_referrer=explore&traceInfo=55bcb5a9-2077-4009-b73b-ce4a28e3d437,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1b681c3fd89be2b0b7b34229313d3cc0.jpg
