title,company,category,status,min_edu,min_exp,description,url,imgUrl
STAF GA & LOGISTIC SEMARANG,PT SOS Indonesia,Supply Chain & Logistics,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for STAF GA & LOGISTIC SEMARANG at PT SOS IndonesiaLaki-laki, usia maksimal 35 tahunPendidikan min D3 segala jurusanDiutamakan pernah handle GA & Logistic min. 1 tahunBisa mengoperasikan MS OfficePaham IT & instalasi listrikKomunikatif, cekatan & telitiRead Less",https://glints.com/id/en/opportunities/jobs/staf-ga-and-logistic-semarang/213173aa-0e6b-4ad1-b0ac-795ecf88a2ca?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ebfc60145d1374da5ea356568fa8869e.png
Supir Pribadi,Sunshine Living Solo,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Supir Pribadi at Sunshine Living SoloSopir Pribadi .Tidak Merokok sama sekaliBerpengalaman membawa mobil matic dan manualPernah melakukan perjalanan ke luar kotaJujur dan tanggung jawab, ramah dan sopan.Read Less",https://glints.com/id/en/opportunities/jobs/supir-pribadi/0d1d68b5-16b3-4fcd-863c-00c7887f5bea?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/73a0359f1ca6b606435b1d3fe140e277.png
Driver,Bluebird Pool Condet,Supply Chain & Logistics,Full-Time · On-site,Minimum Primary School,Less than a year of experience,Job description for Driver at Bluebird Pool CondetPersyaratan :SIM + KTP (aktif)Tidak bertato & tindikUsia 23 - 55thHp Android minimal ram 3 GBBisa menggunakan apl MapsBenefit :- Penghasilan Harian- Bonus Bulanan- Beasiswa Sekolah untuk Anak- Mess Penginapan- Jaminan Kesehatan- Pinjaman Tunai- Kepemilikan RumahRead Less,https://glints.com/id/en/opportunities/jobs/driver/85fc6f34-a267-4fa8-8d47-30d5ca4225fb?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d724e7477c32a6df12e332d2919fc20d.png
Driver butuh segera,Bluebird Pool Condet,Supply Chain & Logistics,Full-Time · On-site,Minimum Primary School,1 - 3 years of experience,Job description for Driver butuh segera at Bluebird Pool CondetJob DescriptionsMengemudikan kendaraan dengan aman dan bertanggung jawab.Mengantarkan barang atau karyawan ke tujuan sesuai dengan rute yang ditentukan.Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin.Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.Job RequirementsMemiliki SIM (Surat Izin Mengemudi) yang validPengalaman sebagai driver atau posisi serupa diutamakan.Pengetahuan tentang peraturan lalu lintas dan keselamatan berkendara.Memiliki sikap bertanggung jawab dan disiplin dalam menjagRead Less,https://glints.com/id/en/opportunities/jobs/driver-butuh-segera/2cc14f89-5ab0-4f00-8a12-cae145784c31?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/d724e7477c32a6df12e332d2919fc20d.png
Driver Truck,COLORLINK OFFICIAL,Supply Chain & Logistics,Full-Time · On-site,Minimum Secondary School,1 - 3 years of experience,Job description for Driver Truck at COLORLINK OFFICIALJob DescriptionsMengemudikan kendaraan dengan aman dan bertanggung jawab.Mengantarkan barang atau karyawan ke tujuan sesuai dengan rute yang ditentukan.Memastikan kondisi kendaraan dalam keadaan baik dan melakukan perawatan rutin.Mematuhi peraturan lalu lintas dan menjaga keamanan selama perjalanan.Job RequirementsMemiliki SIM (Surat Izin Mengemudi) yang validPengalaman sebagai driver atau posisi serupa diutamakan.Pengetahuan tentang peraturan lalu lintas dan keselamatan berkendara.Memiliki sikap bertanggung jawab dan disiplin dalam menjaga jadwal.Kemampuan komunikasi yang baik dan mampu berinteraksi dengan baik dengan orang lain.Read Less,https://glints.com/id/en/opportunities/jobs/driver-truck/916fe35c-0924-42bf-ad70-097bd6aac0b4?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/e96097cbd288ce651ed152755888241d.png
Project Cargo Supervisor,JHL Trans Indonesia,Supply Chain & Logistics,Full-Time · On-site,Minimum Bachelor’s Degree,1 - 3 years of experience,"Job description for Project Cargo Supervisor at JHL Trans IndonesiaQualifications & Requirements:•	Usually Handle Project Cargo •	Strong organizational, supervisory, and interpersonal skills•	Experience 4-5 Years on Cargo Handling •	Have channels of PPJK or Trucking •	Experience of cement plant or power plant •	Have channels of Project Cargo •	Experience on Chemical Factory or transport •	Can DriveResponsibilities:•	Look for reliable suppliers, evaluate their reputation, product quality, price and delivery ability, establish and maintain a good supplier relationship.•	Have the ability of risk management, and can formulate corresponding countermeasures in case of policy adjustment and emergencies.•	Data analysis and research are carried out in each link of the logistics process, and optimization schemes are proposed to improve logistics efficiency and reduce costs.•	Oversee the planning, execution, and completion of project cargo shipments, ensuring they are completed on time, within scope, and within budget.•	Researching the project cargo market and competitor pricing to determine competitive pricing.•	Develop and manage budgets for project cargo operations, ensuring cost-effectiveness and profitability.•	Oversee the quoting and planning of potential project cargo shipments, ensuring they are completed on time and with an accurate budget.•	Tracking the conversion rate of quotations to bookings to assess the effectiveness of pricing strategies. •	Keeping project cargo pricing databases up to date and accurate. Read Less",https://glints.com/id/en/opportunities/jobs/project-cargo-supervisor/3f4c1a61-ff30-4157-8002-e496217bed92?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/aca95c0edf13910e1e969e1e374de7b2.png
Cleaning service dan Driver,Gamaleea,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Cleaning service dan Driver at GamaleeaJob DescriptionsMelakukan tugas-tugas pembersihan, seperti membersihkan meja, lantai, kaca, dan perlengkapan kantor lainnya.Merawat dan menjaga perlengkapan pembersihan agar tetap dalam kondisi baik.Memastikan kebersihan dan keteraturan di area kerja sesuai dengan standar yang ditetapkan.Bisa mengendarai Mobil dan memiliki SIM APaham proses loading in dan out untuk kegiatan bazar Siap bekerja lembur dan tahan terhadap tekanan Memahami pemasangan lampu di steger Siap bekerja weekend dan dihitung lemburRead Less",https://glints.com/id/en/opportunities/jobs/cleaning-service-dan-driver/b696ae62-d39c-45bb-a3c6-f65690ca91a4?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/72529dbd04ab7bcbae9dd77c8378914c.png
Warehouseman,PT Green Energi Utama,Supply Chain & Logistics,Full-Time · On-site,Minimum Secondary School,1 - 3 years of experience,"Job description for Warehouseman at PT Green Energi UtamaPendidikan Minimal SMPMempunyai pengalaman kerja di gudang minimal 2 tahunMemiliki SIM C dan Fisik yang kuat (angkat jrigen)Berkomunikasi dan berkelakuan baik, proaktif, integritas, dan loyal terhadap perusahaan.Jujur, Rapi, Disiplin, serta dapat berkerja sama dalam teamTidak memiliki rasa jijik Tidak memiliki alergi debu dan bau menyengat.Read Less",https://glints.com/id/en/opportunities/jobs/warehouseman/0eac0599-f750-4cd3-bb5c-d83b8f9b599b?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/326f48dfe3b732a22768ce0c9015f89e.jpg
Koordinator Gudang,House Of Vapor Distribution,Supply Chain & Logistics,Full-Time · On-site,Minimum Senior/Vocational High School,1 - 3 years of experience,"Job description for Koordinator Gudang at House Of Vapor DistributionPria/wanita max usia 30Min SLTAMemiliki pengalaman min 1 thn  pada koordinator gudang Mampu mengoperasikan Ms. excel , Ms WordBersedia ditempatkan ditamang griya Bertanggung jawan dan disiplin Read Less",https://glints.com/id/en/opportunities/jobs/koordinator-gudang/c2619029-b738-4e7e-a9d5-a51996a05137?utm_referrer=explore&traceInfo=6f2f0afd-c80f-4444-b72b-ed63083dacd5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/7b22fe05cf3968a9683e9dc69b7d011e.jpeg
Staff Operasional,Moslemepic,Supply Chain & Logistics,Contract · On-site,Minimum Senior/Vocational High School,Less than a year of experience,"Job description for Staff Operasional at Moslemepic- Mengatur keluar masuk dan perpindahan barang di Gudang- Mengatur stock barang masuk dari produksi ke gudang- Membuat dan mencetak label pengiriman sesuai dengan marketplace - Menerima dan mengecek pesanan dari platform marketplace- Menyiapkan barang untuk dikemas sesuai dengan pesanan.- Memastikan ulang kondisi pesanan yang akan dikirim dalam kondisi yang baik - Memastikan pesanan sesuai dengan yang dipesan (jumlah, jenis barang, dan varian)- Mengemas barang dengan rapi dan aman menggunakan bahan packing yang telah ditetapkan- Menyiapkan dan memastikan semua paket untuk diambil kurir - Melakukan update stock barang setelah pengiriman- Bertanggung jawab terhadap validitas data stock barang- Menjaga area kerja tetap bersih dan rapi- Menjaga seluruh inventaris gudang dalam keadaan baikKualifikasi :Pengalaman di bidang e-commerce atau pergudanganBeragama islam, berakhlak baik, dan bertakwaTeliti dan detail dalam bekerja, memastikan barang dikemas dengan baik dan benarMampu mengoperasikan word dan excelDapat mengendarai kendaaranRead Less",https://glints.com/id/en/opportunities/jobs/staff-operasional/d2e77c90-1591-4f78-a0c0-83e1400977ad?utm_referrer=explore&traceInfo=335b169d-e70d-44f7-a85c-a69ab1aa6104,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a8eb3d4b494731231e95426da66df157.jpg
